category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
B,2,+00:53.2,BRT,4,ffffff,050505,ff8100,Jessica Hamilton,nz,653395,,0
B,1,+00:53.8,BRT,4,ffffff,050505,ff8100,Darren Green - BRT (B) ,gb-eng,30856,,0
B,1,+00:56.2,,0,00dd00,,,Leonie Dijkstra,nl,1016132,,0
B,1,+00:56.4,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Baltes Cora [CRYO-GEN],ro,701096,,0
B,1,+00:56.8,DBR,1986,ffffff,eb7b2a,ffffff,Jan Stougaard Glerup,dk,387964,,0
B,1,+00:59.2,,0,00dd00,,,Rowan M,au,161528,,0
B,1,+01:02.8,teamWKG,1330,fa5e06,3f4c54,3f4c54,Paul Nicholls (WKG FUN),gb,560500,,0
B,1,+01:03.9,CPC,3440,ff0404,ffff00,000000,J. Ruffin - CPC pb Tesla,us,84242,,0
B,1,+01:06.8,WattFest,3093,000000,228b22,32cd32,Fritz  Hartman,us,12164,,0
B,1,+01:10.4,,0,00dd00,,,James Bannister,gb,154269,,0
B,1,+01:11.0,,0,00dd00,,,Rob Nytko,us,106009,,0
B,1,+01:11.2,BRT,4,ffffff,050505,ff8100,Keith Brothers (BRT Chasers),gb,233265,,0
B,1,+01:13.5,,0,00dd00,,,Toby Boylan,au,667517,,0
B,1,+01:13.6,Putters,5082,ffffff,070808,f74949,Tom De Ketelaere (Putter) ,be,1049143,,0
B,1,+01:18.9,,0,00dd00,,,Megan Galinat ,us,1074469,,0
B,1,+01:24.0,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,DJ Johnston - Cryo Gen.,au,823571,,0
B,1,+01:25.9,,0,00dd00,,,serge le goff,fr,539977,,0
B,1,+01:29.7,,0,00dd00,,,Todd Sack,us,1535680,,0
B,1,+01:32.3,BRT,4,ffffff,050505,ff8100,Steve Claxton,gb,614972,,0
B,1,+03:09.3,,0,00dd00,,,J. M. ,us,1341951,,0
C,1,00:07:29.6,RuhrRiders,41,ff8700,000000,5cb0fc,Thomas Reinecke,de,209977,,0
C,1,+00:06.1,,0,00dd00,,,Adrien Benusiglio,fr,882956,,0
C,1,+00:07.1,,0,00dd00,,,Jared Dalichow,de,839336,,0
C,1,+00:19.0,BRT,4,ffffff,050505,ff8100,Patch Harvey (BRT),gb,88086,,0
C,1,+00:22.9,RCC,265,fc2097,d2d6de,111111,Robert Evans,us,1352742,,0
C,1,+00:23.8,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Douglas MacRae,gb-sct,1417813,,0
C,1,+00:29.9,,0,00dd00,,,Neal Coughlin,us,623030,,0
C,1,+00:30.2,,0,00dd00,,,Paul Renton,gb,210682,,0
C,1,+00:30.4,Team Type 1,168,ffffff,0073b7,ffffff,John Cahill,au,552806,,0
C,1,+00:33.8,DIRT,2707,29ec34,563c0f,df6a0d,Michael Suer [DIRT],us,1314405,,0
C,1,+00:38.6,BRT,4,ffffff,050505,ff8100,David Swan [BRT],gb-wls,246094,,0
C,1,+00:39.9,USMES,79,ffffff,0073b7,ffffff,Xiphos Pyrriche(2454),gr,245169,,0
C,1,+00:41.0,,0,00dd00,,,Nathan Race,us,11445,,0
C,1,+00:41.7,BRT,4,ffffff,050505,ff8100,Ade Manning (BRT),gb-eng,77820,,0
C,1,+00:45.2,BRT,4,ffffff,050505,ff8100,ed grey(BRT Chasers),gb,444186,,0
C,1,+00:48.9,BRT,4,ffffff,050505,ff8100,Alan Millard,gb-eng,482477,,0
C,1,+00:49.3,,0,00dd00,,,Mikhail Trifonov8660 ,ru,815511,,0
C,1,+00:50.1,,0,00dd00,,,Sjors Davidse,nl,1037481,,0
C,1,+00:50.3,,0,00dd00,,,Muliadi Antaredja,id,43578,,0
C,1,+00:50.6,DIRT,2707,29ec34,563c0f,df6a0d,Michael Chalfant [DIRT],us,212993,,0
C,1,+00:55.6,,0,00dd00,,,Holly  Roach GB (Riding on Empty),ca,888668,,0
C,1,+00:56.8,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Annaleen Visagie (CRYO-GEN Ravens),za,1235014,,0
C,1,+00:59.3,,0,00dd00,,,Luis Canosa,gb,931871,,0
C,1,+01:07.2,BRT,4,ffffff,050505,ff8100,Jonnie Treharne (BRT),gb-wls,1432175,,0
C,1,+01:09.2,,0,00dd00,,,Froydis Gullbra,no,578544,,0
C,1,+01:10.5,,0,00dd00,,,Joe Fortier,us,861534,,0
C,1,+01:17.2,BRT,4,ffffff,050505,ff8100,Steve Wiltshire,gb,484548,,0
C,1,+01:18.9,BRT,4,ffffff,050505,ff8100, Art Pacione [BRT],us,112213,,0
C,1,+01:20.5,,0,00dd00,,,Suzuki Nobuaki,jp,117973,,0
C,1,+01:21.3,,0,00dd00,,,Crystal Strong,us,816765,,0
C,1,+01:21.8,,0,00dd00,,,J Bec,de,1060511,,0
C,1,+01:27.3,,0,00dd00,,,Kristof Novi,zw,106206,,0
C,1,+01:28.1,,0,00dd00,,,Greg McPherson (PVC),us,1462846,,0
C,1,+01:29.0,,0,00dd00,,,Mike Duff,us,813092,,0
C,1,+01:30.8,DIRT,2707,29ec34,563c0f,df6a0d,Eric Plantinga,us,1162198,,0
C,1,+01:32.7,,0,00dd00,,,Danila 5494 Elchin,ru,961807,,0
C,1,+01:33.3,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,H.  Posselmann (KC) ,de,532446,,0
